id,desc,avgL,avgA,avgB
1,Pre-op left-side,97.81086538461538,142.00990384615383,137.74615384615385
2,Post-op 1 left-side,94.24596153846154,144.70192307692307,136.12548076923076
3,Difference Post-op 1 left-side vs Pre-op left side,-8.912788461538454,1.3106730769230523,-6.722499999999997
4,Post-op 2 left-side,95.2189423076923,143.72153846153847,139.60278846153847
5,Difference Post-op 2 left-side vs Pre-op left side,-7.939807692307696,0.3302884615384585,-3.2451923076922924
6,Pre-op right-side,103.15875,143.39125,142.84798076923076
7,Post-op 1 right-side,104.11971153846154,144.34423076923076,135.70423076923078
8,Difference Post-op 1 right-side vs Pre-op right side,0.9609615384615466,0.9529807692307486,-7.143749999999983
9,Post-op 2 right-side,98.29240384615385,142.69057692307692,139.52980769230768
10,Difference Post-op 2 right-side vs Pre-op right side,-4.866346153846152,-0.7006730769230956,-3.318173076923074
